run_id,exp_type,file_size_mb,scenario,cpu_quota,threads,chunk_kb,duration_s,throughput_mbps,cost_cpu_seconds,efficiency_mb_per_cpus,bytes_downloaded,exit_code
165,probe_small,10,Cloud_Fast,2.0,1,256,0.516,461.67,0.328703,30.42,10485760,0
166,probe_small,10,Cloud_Fast,2.0,1,1024,0.52,460.28,0.336017,29.76,10485760,0
167,probe_small,10,Cloud_Fast,2.0,16,256,0.489,552.64,0.357073,28.01,10485760,0
168,probe_small,10,Cloud_Fast,2.0,16,1024,0.487,557.9,0.364647,27.42,10485760,0
169,probe_large,300,Edge_Normal,0.5,4,1024,579.485,4.35,1.960752,153.0,314572800,0
170,probe_large,300,Edge_Normal,0.5,4,4096,560.674,4.49,1.950097,153.84,314572800,0
171,probe_large,300,Edge_Normal,0.5,8,1024,296.92,8.49,1.818509,164.97,314572800,0
172,probe_large,300,Edge_Normal,0.5,8,4096,309.559,8.15,1.866021,160.77,314572800,0
173,probe_large,300,Edge_Normal,0.5,16,1024,172.212,14.66,1.7949,167.14,314572800,0
174,probe_large,300,Edge_Normal,0.5,16,4096,163.442,15.45,1.852491,161.94,314572800,0
176,probe_large,300,Edge_Normal,1.0,4,4096,588.428,4.28,2.058707,145.72,314572800,0
177,probe_large,300,Edge_Normal,1.0,8,1024,319.84,7.88,1.848728,162.27,314572800,0
